zipCode,country,address
1200,Germany,"92 Random St, City 1200"
1201,USA,"72 Random St, City 1201"
1202,France,"36 Random St, City 1202"
1203,USA,"2 Random St, City 1203"
1204,Spain,"73 Random St, City 1204"
1205,Spain,"48 Random St, City 1205"
1206,USA,"1 Random St, City 1206"
1207,USA,"92 Random St, City 1207"
1208,Italy,"23 Random St, City 1208"
1209,Spain,"81 Random St, City 1209"
1210,Spain,"17 Random St, City 1210"
1211,Italy,"38 Random St, City 1211"
1212,France,"34 Random St, City 1212"
1213,Spain,"1 Random St, City 1213"
1214,USA,"41 Random St, City 1214"
1215,USA,"56 Random St, City 1215"
1216,USA,"43 Random St, City 1216"
1217,France,"27 Random St, City 1217"
1218,France,"34 Random St, City 1218"
1219,Germany,"56 Random St, City 1219"
1220,USA,"44 Random St, City 1220"
1221,France,"54 Random St, City 1221"
1222,Italy,"67 Random St, City 1222"
1223,Spain,"97 Random St, City 1223"
1224,Germany,"29 Random St, City 1224"
1225,Spain,"84 Random St, City 1225"
1226,Germany,"62 Random St, City 1226"
1227,France,"6 Random St, City 1227"
1228,Italy,"11 Random St, City 1228"
1229,Italy,"50 Random St, City 1229"
1230,Germany,"59 Random St, City 1230"
1231,Italy,"11 Random St, City 1231"
1232,France,"52 Random St, City 1232"
1233,USA,"87 Random St, City 1233"
1234,Spain,"37 Random St, City 1234"
1235,France,"35 Random St, City 1235"
1236,Germany,"7 Random St, City 1236"
1237,France,"35 Random St, City 1237"
1238,Germany,"88 Random St, City 1238"
1239,France,"97 Random St, City 1239"
1240,USA,"2 Random St, City 1240"
1241,Spain,"15 Random St, City 1241"
1242,Spain,"25 Random St, City 1242"
1243,USA,"58 Random St, City 1243"
1244,Germany,"38 Random St, City 1244"
1245,France,"88 Random St, City 1245"
1246,Germany,"42 Random St, City 1246"
1247,Italy,"42 Random St, City 1247"
1248,Germany,"26 Random St, City 1248"
1249,Italy,"55 Random St, City 1249"
1250,France,"74 Random St, City 1250"
1251,Spain,"25 Random St, City 1251"
1252,France,"52 Random St, City 1252"
1253,Germany,"33 Random St, City 1253"
1254,Spain,"87 Random St, City 1254"
1255,Spain,"41 Random St, City 1255"
1256,Germany,"25 Random St, City 1256"
1257,USA,"64 Random St, City 1257"
1258,Germany,"74 Random St, City 1258"
1259,USA,"30 Random St, City 1259"
1260,Spain,"89 Random St, City 1260"
1261,Italy,"68 Random St, City 1261"
1262,USA,"99 Random St, City 1262"
1263,Spain,"71 Random St, City 1263"
1264,France,"43 Random St, City 1264"
1265,USA,"96 Random St, City 1265"
1266,Germany,"43 Random St, City 1266"
1267,Spain,"48 Random St, City 1267"
1268,USA,"88 Random St, City 1268"
1269,Germany,"19 Random St, City 1269"
1270,Germany,"51 Random St, City 1270"
1271,Spain,"11 Random St, City 1271"
1272,Spain,"45 Random St, City 1272"
1273,Spain,"41 Random St, City 1273"
1274,USA,"8 Random St, City 1274"
1275,Germany,"15 Random St, City 1275"
1276,Italy,"27 Random St, City 1276"
1277,France,"47 Random St, City 1277"
1278,Germany,"31 Random St, City 1278"
1279,Spain,"37 Random St, City 1279"
1280,USA,"47 Random St, City 1280"
1281,Italy,"77 Random St, City 1281"
1282,Spain,"32 Random St, City 1282"
1283,USA,"63 Random St, City 1283"
1284,USA,"38 Random St, City 1284"
1285,France,"43 Random St, City 1285"
1286,Italy,"67 Random St, City 1286"
1287,USA,"15 Random St, City 1287"
1288,Germany,"42 Random St, City 1288"
1289,France,"27 Random St, City 1289"
1290,Italy,"79 Random St, City 1290"
1291,Italy,"49 Random St, City 1291"
1292,Germany,"86 Random St, City 1292"
1293,France,"98 Random St, City 1293"
1294,Germany,"37 Random St, City 1294"
1295,Italy,"88 Random St, City 1295"
1296,USA,"45 Random St, City 1296"
1297,Germany,"65 Random St, City 1297"
1298,USA,"88 Random St, City 1298"
1299,Germany,"4 Random St, City 1299"
1300,Germany,"36 Random St, City 1300"
1301,USA,"73 Random St, City 1301"
1302,France,"21 Random St, City 1302"
1303,Spain,"1 Random St, City 1303"
1304,Italy,"75 Random St, City 1304"
1305,France,"71 Random St, City 1305"
1306,Germany,"90 Random St, City 1306"
1307,Italy,"9 Random St, City 1307"
1308,France,"17 Random St, City 1308"
1309,USA,"32 Random St, City 1309"
1310,France,"98 Random St, City 1310"
1311,Germany,"38 Random St, City 1311"
1312,France,"55 Random St, City 1312"
1313,Italy,"65 Random St, City 1313"
1314,Germany,"59 Random St, City 1314"
1315,Spain,"100 Random St, City 1315"
1316,USA,"15 Random St, City 1316"
1317,France,"31 Random St, City 1317"
1318,USA,"21 Random St, City 1318"
1319,Italy,"2 Random St, City 1319"
1320,Spain,"38 Random St, City 1320"
1321,Italy,"97 Random St, City 1321"
1322,France,"41 Random St, City 1322"
1323,France,"67 Random St, City 1323"
1324,Spain,"85 Random St, City 1324"
1325,France,"6 Random St, City 1325"
1326,France,"13 Random St, City 1326"
1327,Spain,"66 Random St, City 1327"
1328,France,"38 Random St, City 1328"
1329,Italy,"82 Random St, City 1329"
1330,Spain,"25 Random St, City 1330"
1331,USA,"43 Random St, City 1331"
1332,Italy,"98 Random St, City 1332"
1333,USA,"3 Random St, City 1333"
1334,Spain,"75 Random St, City 1334"
1335,France,"90 Random St, City 1335"
1336,Spain,"46 Random St, City 1336"
1337,France,"98 Random St, City 1337"
1338,Spain,"31 Random St, City 1338"
1339,USA,"2 Random St, City 1339"
1340,USA,"26 Random St, City 1340"
1341,Germany,"79 Random St, City 1341"
1342,Germany,"70 Random St, City 1342"
1343,Spain,"85 Random St, City 1343"
1344,Spain,"97 Random St, City 1344"
1345,USA,"94 Random St, City 1345"
1346,Spain,"54 Random St, City 1346"
1347,Germany,"78 Random St, City 1347"
1348,USA,"72 Random St, City 1348"
1349,USA,"96 Random St, City 1349"
1350,Spain,"5 Random St, City 1350"
1351,Spain,"32 Random St, City 1351"
1352,Germany,"38 Random St, City 1352"
1353,Germany,"88 Random St, City 1353"
1354,Germany,"15 Random St, City 1354"
1355,USA,"57 Random St, City 1355"
1356,France,"3 Random St, City 1356"
1357,France,"8 Random St, City 1357"
1358,Germany,"23 Random St, City 1358"
1359,USA,"18 Random St, City 1359"
1360,USA,"60 Random St, City 1360"
1361,Germany,"16 Random St, City 1361"
1362,Spain,"96 Random St, City 1362"
1363,Spain,"25 Random St, City 1363"
1364,Italy,"19 Random St, City 1364"
1365,Spain,"3 Random St, City 1365"
1366,Spain,"76 Random St, City 1366"
1367,France,"69 Random St, City 1367"
1368,Spain,"84 Random St, City 1368"
1369,Germany,"96 Random St, City 1369"
1370,Spain,"42 Random St, City 1370"
1371,USA,"9 Random St, City 1371"
1372,Spain,"84 Random St, City 1372"
1373,Spain,"13 Random St, City 1373"
1374,France,"59 Random St, City 1374"
1375,France,"57 Random St, City 1375"
1376,Italy,"60 Random St, City 1376"
1377,USA,"60 Random St, City 1377"
1378,France,"5 Random St, City 1378"
1379,France,"92 Random St, City 1379"
1380,Spain,"92 Random St, City 1380"
1381,Spain,"33 Random St, City 1381"
1382,France,"33 Random St, City 1382"
1383,France,"70 Random St, City 1383"
1384,USA,"64 Random St, City 1384"
1385,Italy,"61 Random St, City 1385"
1386,USA,"46 Random St, City 1386"
1387,Italy,"56 Random St, City 1387"
1388,Spain,"4 Random St, City 1388"
1389,Spain,"55 Random St, City 1389"
1390,Germany,"72 Random St, City 1390"
1391,Italy,"67 Random St, City 1391"
1392,Spain,"40 Random St, City 1392"
1393,Italy,"66 Random St, City 1393"
1394,USA,"62 Random St, City 1394"
1395,France,"92 Random St, City 1395"
1396,France,"27 Random St, City 1396"
1397,Spain,"71 Random St, City 1397"
1398,Spain,"33 Random St, City 1398"
1399,USA,"82 Random St, City 1399"
