flightID,airline,departureDate,returnDate
1200,El Al,2025-03-14,2025-10-10
1201,El Al,2024-04-10,2026-06-01
1202,Turkish Airlines,2025-05-26,2026-09-19
1203,Turkish Airlines,2024-08-26,2025-01-28
1204,Turkish Airlines,2025-03-02,2025-07-15
1205,Lufthansa,2025-05-21,2026-07-17
1206,El Al,2025-09-16,2025-10-18
1207,Lufthansa,2025-08-26,2026-08-11
1208,Turkish Airlines,2025-11-20,2026-02-23
1209,Turkish Airlines,2025-02-28,2025-02-17
1210,El Al,2025-05-16,2026-02-13
1211,Lufthansa,2024-08-27,2025-08-17
1212,Delta,2024-01-19,2026-02-20
1213,Turkish Airlines,2025-09-29,2025-06-08
1214,El Al,2024-08-01,2025-07-17
1215,Turkish Airlines,2024-09-22,2025-10-28
1216,Lufthansa,2025-01-04,2026-01-25
1217,Lufthansa,2024-02-05,2025-03-20
1218,Turkish Airlines,2024-09-10,2025-06-19
1219,Lufthansa,2024-05-10,2025-05-15
1220,Lufthansa,2025-02-28,2026-02-07
1221,Turkish Airlines,2024-10-20,2026-07-28
1222,Lufthansa,2025-01-21,2025-09-23
1223,Lufthansa,2025-01-03,2025-01-16
1224,El Al,2024-01-07,2026-08-06
1225,El Al,2024-07-11,2026-03-21
1226,Turkish Airlines,2024-02-28,2026-10-13
1227,Turkish Airlines,2024-11-12,2026-08-29
1228,Lufthansa,2024-12-27,2026-12-13
1229,El Al,2024-03-30,2025-05-05
1230,Lufthansa,2025-09-28,2026-11-21
1231,Delta,2025-10-11,2025-09-16
1232,El Al,2024-12-27,2025-06-20
1233,Lufthansa,2024-07-21,2025-01-14
1234,Delta,2024-11-21,2026-03-17
1235,El Al,2025-10-05,2026-07-24
1236,Delta,2024-01-15,2026-01-10
1237,Turkish Airlines,2025-04-26,2025-04-19
1238,El Al,2024-05-30,2025-06-22
1239,Lufthansa,2024-02-12,2026-11-19
1240,Lufthansa,2025-06-01,2026-01-24
1241,Lufthansa,2024-08-03,2025-04-24
1242,Lufthansa,2024-08-30,2025-04-30
1243,Turkish Airlines,2024-08-05,2025-10-06
1244,Delta,2025-06-16,2026-11-23
1245,Delta,2025-01-08,2025-12-17
1246,Delta,2024-12-11,2025-06-23
1247,Lufthansa,2024-11-22,2026-05-29
1248,Lufthansa,2025-06-17,2026-06-19
1249,Turkish Airlines,2025-06-12,2026-07-17
1250,Turkish Airlines,2025-12-11,2026-08-28
1251,Turkish Airlines,2025-04-27,2026-08-28
1252,Turkish Airlines,2025-02-15,2025-09-30
1253,Turkish Airlines,2025-12-01,2026-11-07
1254,Delta,2025-02-11,2025-02-18
1255,Turkish Airlines,2024-08-14,2026-08-25
