zipCode,country
WOW,Dubai
KND,Singapore
ROF,Los Angeles
HUT,London
BUV,Frankfurt
ZBK,Los Angeles
HTW,London
BTV,Tokyo
GLA,Copenhagen
MNC,Mexico City
OOR,Rome
MBV,Tokyo
GBP,Delhi
PEH,Madrid
OPS,Rome
SFX,Amsterdam
DEN,Sydney
AZZ,Madrid
SYB,Copenhagen
TEQ,Bogotá
PDD,Delhi
MUG,Seoul
PTA,Sydney
LSX,Amsterdam
TRG,Delhi
MXH,Amsterdam
USR,Singapore
TAR,Madrid
TXG,Toronto
XMG,Addis Ababa
TDL,Paris
CKL,Johannesburg
QEF,Frankfurt
LID,Amsterdam
KFP,São Paulo
PMX,Tokyo
JEK,Bogotá
GDT,New York
TBI,Doha
MOI,Singapore
MLW,Frankfurt
PSQ,Los Angeles
OCC,New York
LUF,Rome
VCD,London
AOO,New York
YKU,Toronto
BGT,London
KXF,London
BHG,Copenhagen
LEC,New York
RAK,New York
EPL,Madrid
CHS,Sydney
VAW,Copenhagen
LKU,Toronto
MWC,Bogotá
CHP,Addis Ababa
BYN,Copenhagen
NMB,Mexico City
WLO,Los Angeles
SIV,Madrid
YBQ,Rome
SPR,Singapore
LGB,Mexico City
PAB,Auckland
TIP,Doha
PUB,Bogotá
KBI,Johannesburg
TPC,Delhi
HFF,Bogotá
NEC,New York
DRR,Addis Ababa
BNB,Delhi
DVK,Singapore
ZNZ,Addis Ababa
VRE,Seoul
ISC,Amsterdam
MGK,Hong Kong
VTE,Seoul
RRE,London
GFN,Amsterdam
AZA,New York
IRB,Copenhagen
GMV,Los Angeles
MYJ,Los Angeles
OLC,Amsterdam
0,New York
WIC,Addis Ababa
MHY,Copenhagen
YOD,São Paulo
ITH,Paris
BTX,New York
MMZ,Bangkok
CAN,Addis Ababa
KNT,New York
BTN,Sydney
TBC,Dubai
AGU,Doha
EPL,Toronto
HKD,Los Angeles
BXX,Hong Kong
LDB,Amsterdam
MOC,Seoul
FVL,New York
BGO,Addis Ababa
ZWL,Tokyo
PAF,Bangkok
MFB,São Paulo
APY,Madrid
0,Rome
KZD,Bangkok
BRD,São Paulo
RNC,Bangkok
PUS,Paris
AMN,Rome
DOL,Hong Kong
SXB,Doha
PUU,New York
SLE,Amsterdam
ONP,Bangkok
CEV,Delhi
TQN,São Paulo
SMV,Dubai
SYD,Madrid
VAD,Copenhagen
BEX,Delhi
GRC,Auckland
HRL,Auckland
RSJ,Johannesburg
MFM,Addis Ababa
YRT,Seoul
HAS,New York
PTD,Auckland
STW,Tokyo
WSX,Frankfurt
SQK,Bangkok
GRY,Delhi
YWO,Hong Kong
REY,Seoul
OKC,Amsterdam
AKK,New York
NMT,Seoul
ULK,New York
PBJ,São Paulo
XMP,Toronto
ALM,São Paulo
PHL,Tokyo
FSS,Amsterdam
JGR,Copenhagen
WAN,Amsterdam
PSU,Doha
CLD,Paris
KKH,Addis Ababa
ENO,Dubai
ZOF,Addis Ababa
FSZ,Hong Kong
LGB,New York
KWL,Los Angeles
TMF,Johannesburg
TCC,Los Angeles
DIR,Copenhagen
GZT,Copenhagen
DZN,Bogotá
RAF,Toronto
LEJ,Copenhagen
WAB,Johannesburg
MWR,Madrid
DDM,New York
MRS,Seoul
UIL,Tokyo
BBC,London
MCN,Bogotá
RTL,Rome
JEJ,Johannesburg
MXK,Singapore
OKE,Los Angeles
HFD,New York
TVL,Copenhagen
AZI,Amsterdam
DAT,Bangkok
TYA,Toronto
WIC,Hong Kong
OGL,Los Angeles
AOE,Bogotá
CXL,Paris
CRD,Delhi
LBP,Los Angeles
MBQ,Johannesburg
CVR,Madrid
UIN,Paris
ODC,New York
BDR,New York
HZH,Doha
CTQ,Bangkok
KJU,Delhi
HOE,Madrid
AIL,Mexico City
LUZ,Bogotá
AAN,Toronto
LUE,Los Angeles
BEN,Johannesburg
KRD,São Paulo
TJN,Addis Ababa
BTH,Mexico City
LYC,Los Angeles
MKZ,New York
BGK,Bangkok
YKM,Singapore
TSY,Auckland
VGO,Los Angeles
URA,Mexico City
WUS,Johannesburg
CTO,Doha
DGL,Frankfurt
AAH,New York
RJK,Singapore
YXZ,Madrid
MYT,Doha
PNT,Rome
SBO,Paris
LPB,Bogotá
MNG,London
NTQ,Singapore
VYD,Madrid
SUM,Frankfurt
TKY,Doha
TR7,Los Angeles
FME,Amsterdam
GJR,Doha
AXD,Addis Ababa
NLS,Los Angeles
LKP,Toronto
SQR,New York
UTT,Singapore
IFH,Toronto
MGD,Singapore
TIM,Bogotá
MYQ,São Paulo
JNZ,Madrid
TKA,Copenhagen
YXS,Rome
STJ,Auckland
HLO,Bogotá
RAM,Paris
FFO,Mexico City
KOM,Mexico City
TVS,Madrid
BAO,Paris
HSL,Copenhagen
BPH,Copenhagen
TVC,Madrid
PGM,Los Angeles
YVT,São Paulo
OVE,Amsterdam
IFU,Toronto
HRT,Singapore
YZF,Johannesburg
ESM,Toronto
ZAR,Bangkok
SJR,Madrid
PZS,Hong Kong
OSK,Toronto
UNR,São Paulo
SKK,Addis Ababa
KLS,Rome
PHM,Tokyo
BMF,Amsterdam
KEW,Bangkok
WDN,Rome
PCF,Rome
0,Copenhagen
RGO,Sydney
SNI,Seoul
KCB,Bangkok
LHA,Dubai
BHR,Seoul
LYC,Mexico City
AAZ,Mexico City
JVI,Doha
VEY,Hong Kong
YXN,Frankfurt
ATA,Johannesburg
AUN,Madrid
DVR,Hong Kong
SNS,Delhi
IRG,Toronto
SAP,Addis Ababa
BDQ,Sydney
KRM,Toronto
MCJ,Bangkok
BPL,Mexico City
EYS,Amsterdam
COI,Delhi
GYS,Los Angeles
YLT,Seoul
0,Tokyo
LNQ,Delhi
TEX,Singapore
EPS,Doha
SEU,Auckland
NLU,Sydney
PBM,Seoul
VGD,Sydney
ONB,New York
MLS,London
LTH,New York
FOR,Paris
ELY,Addis Ababa
AIE,Frankfurt
SPF,Seoul
CBB,Paris
YNB,Singapore
MZZ,Tokyo
NGS,Doha
MUF,London
PTA,New York
LST,Copenhagen
PNN,Hong Kong
MIK,Doha
CUA,Copenhagen
TGQ,Madrid
VQS,New York
BSL,Singapore
KFE,Tokyo
PXM,London
ORR,Los Angeles
GTF,Amsterdam
BJW,Bangkok
BTF,Seoul
BAI,Johannesburg
CBH,Mexico City
FBG,Frankfurt
PNL,Bogotá
YDJ,Addis Ababa
BAB,London
INO,Hong Kong
SDD,Frankfurt
PAJ,Dubai
QLF,New York
YDO,Frankfurt
CMR,Dubai
NQX,Doha
SCC,Sydney
BCJ,Rome
ZPB,Sydney
WNA,Copenhagen
MEY,Frankfurt
YZP,Toronto
LEN,Seoul
MAL,Copenhagen
YRS,Paris
MDD,Copenhagen
OGB,Singapore
NQL,Madrid
TCB,Copenhagen
OHB,Mexico City
