tripId,customerID,totalCustomer
1,1,85
2,2,20
3,3,32
4,4,37
5,5,57
6,6,48
7,7,91
8,8,47
9,9,11
10,10,37
11,11,45
12,12,46
13,13,76
14,14,56
15,15,37
16,16,35
17,17,38
18,18,59
19,19,80
20,20,87
21,21,19
22,22,78
23,23,57
24,24,68
25,25,22
26,26,83
27,27,27
28,28,37
29,29,35
30,30,45
31,31,51
32,32,88
33,33,57
34,34,59
35,35,17
36,36,78
37,37,2
38,38,73
39,39,79
40,40,51
41,41,18
42,42,11
43,43,42
44,44,13
45,45,94
46,46,92
47,47,69
48,48,37
49,49,88
50,50,99
51,51,98
52,52,3
53,53,100
54,54,30
55,55,58
56,56,6
57,57,7
58,58,76
59,59,82
60,60,75
61,61,72
62,62,20
63,63,71
64,64,12
65,65,5
66,66,58
67,67,48
68,68,65
69,69,64
70,70,96
71,71,98
72,72,91
73,73,86
74,74,31
75,75,33
76,76,36
77,77,51
78,78,5
79,79,93
80,80,18
81,81,32
82,82,76
83,83,15
84,84,50
85,85,75
86,86,45
87,87,61
88,88,18
89,89,12
90,90,14
91,91,55
92,92,37
93,93,75
94,94,77
95,95,99
96,96,17
97,97,83
98,98,40
99,99,67
100,100,52
101,101,33
102,102,22
103,103,94
104,104,41
105,105,29
106,106,32
107,107,88
108,108,41
109,109,11
110,110,96
111,111,57
112,112,68
113,113,64
114,114,20
115,115,63
116,116,86
117,117,2
118,118,71
119,119,78
120,120,60
121,121,44
122,122,44
123,123,66
124,124,82
125,125,13
126,126,51
127,127,49
128,128,45
129,129,31
130,130,72
131,131,48
132,132,70
133,133,81
134,134,22
135,135,47
136,136,53
137,137,63
138,138,63
139,139,5
140,140,75
141,141,22
142,142,68
143,143,25
144,144,25
145,145,53
146,146,5
147,147,81
148,148,18
149,149,41
150,150,62
151,151,61
152,152,3
153,153,4
154,154,22
155,155,42
156,156,67
157,157,53
158,158,8
159,159,51
160,160,55
161,161,7
162,162,17
163,163,76
164,164,58
165,165,78
166,166,56
167,167,13
168,168,50
169,169,49
170,170,80
171,171,37
172,172,33
173,173,86
174,174,64
175,175,29
176,176,77
177,177,34
178,178,68
179,179,21
180,180,74
181,181,1
182,182,43
183,183,32
184,184,31
185,185,66
186,186,91
187,187,59
188,188,92
189,189,38
190,190,60
191,191,49
192,192,78
193,193,74
194,194,44
195,195,12
196,196,99
